"C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Scripts\python.exe" "C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\transcribe.py"
C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Lib\site-packages\whisper\transcribe.py:132: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:00.000 --> 00:06.000]  Wszystkie słowa są jasne.
[17:58.700 --> 18:01.700]  I to się stało w początku czerwca, a potem po dwóch tygodniach...
[18:01.700 --> 18:02.700]  Tak, tak.
[18:02.700 --> 18:04.700]  I to się stało w początku czerwca, a potem po dwóch tygodniach...
[18:04.700 --> 18:06.700]  To było coś, o czym pamiętam.
[18:06.700 --> 18:09.700]  Byłem robiąc coś, pewne kalkulacje.
[18:09.700 --> 18:11.700]  Aha, tak.
[18:11.700 --> 18:12.700]  Tak, tak, to było w czerwcu.
[18:12.700 --> 18:14.700]  Może.
[18:14.700 --> 18:16.700]  Ona powiedziała...
[18:16.700 --> 18:20.700]  W zeszłym tygodniu byłam w Zakopane.
[18:20.700 --> 18:22.700]  W zeszłym tygodniu.
[18:22.700 --> 18:24.700]  Ona pisze ten e-mail...
[18:24.700 --> 18:26.700]  Ona pisze ten e-mail...
[18:26.700 --> 18:30.700]  ...12 lipca.
[18:30.700 --> 18:36.700]  Więc w zeszły tydzień to nadal był lipiec.
[18:36.700 --> 18:37.700]  W zeszłym tydzień, to nadal był lipiec.
[18:37.700 --> 18:40.700]  Potem, ona pisze w 12 lipcu.
[18:40.700 --> 18:42.700]  Że była tam w zeszłym tygodniu.
[18:42.700 --> 18:44.700]  Więc w zeszłym tygodniu była...
[18:44.700 --> 18:45.700]  ...w zeszłym tygodniu.
[18:45.700 --> 18:47.700]  Czyli chyba...
[18:47.700 --> 18:49.700]  Czyli chyba...
[18:49.700 --> 18:51.700]  ...nieprawda.
[18:51.700 --> 18:53.700]  Czyli nieprawda, bo ona była w lipcu.
[18:53.700 --> 18:54.700]  Zakopane.
[18:54.700 --> 18:55.700]  Marek i jej znajomi tylko rozmawiali...
[18:55.700 --> 18:58.700]  A jej znajomi tylko rozmawiali i relacowali się.
[18:58.700 --> 19:00.700]  Prawda.
[19:00.700 --> 19:03.700]  Jacek uczył się do egzaminu z ekonomii.
[19:03.700 --> 19:05.700]  Prawda.
[19:05.700 --> 19:09.700]  Marta i Ania widziały się ostatnio we wrześniu.
[19:09.700 --> 19:11.700]  Nieprawda.
[19:11.700 --> 19:13.700]  Ania szukała nowej pracy.
[19:13.700 --> 19:15.700]  Nieprawda.
[19:15.700 --> 19:17.700]  A kiedy się ostatnio widziała mamna z Anią?
[19:17.700 --> 19:19.700]  Prawda.
[19:19.700 --> 19:21.700]  Ten był nieprawda, tak?
[19:21.700 --> 19:23.700]  Prawda.
[19:23.700 --> 19:27.700]  Ania nie szuka nowej pracy.
[19:27.700 --> 19:29.700]  Jacek szuka nowej pracy.
[19:29.700 --> 19:31.700]  Nie.
[19:31.700 --> 19:33.700]  Nie.
[19:33.700 --> 19:35.700]  A ty?
[19:35.700 --> 19:37.700]  A ty?
[19:37.700 --> 19:39.700]  Wydziałyście z Anii.
[19:39.700 --> 19:41.700]  Tak.
[19:41.700 --> 19:43.700]  Więc to było dawno.
[19:43.700 --> 19:45.700]  Kiedy ostatnio widziałam cię?
[19:45.700 --> 19:47.700]  Prawda.
[19:47.700 --> 19:49.700]  Pracowałeś tam?
[19:49.700 --> 19:51.700]  Gdzie pracowałeś?
[19:51.700 --> 19:53.700]  Jeśli pamiętam dokładnie,
[19:53.700 --> 19:55.700]  że ty byłeś...
[19:55.700 --> 19:57.700]  O, szukała.
[19:57.700 --> 19:59.700]  Pracuje.
[19:59.700 --> 20:01.700]  Nie pracujesz.
[20:01.700 --> 20:03.700]  Ona nie pyta Jacka.
[20:03.700 --> 20:05.700]  Ona pyta...
[20:05.700 --> 20:07.700]  Anię.
[20:07.700 --> 20:09.700]  Nie. Kogo ona pyta?
[20:09.700 --> 20:11.700]  Ona pyta o Anię.
[20:11.700 --> 20:13.700]  Pytanie o Anię.
[20:13.700 --> 20:15.700]  Pytanie o Anię.
[20:15.700 --> 20:17.700]  Więc dlaczego ty wyrzuciłeś
[20:17.700 --> 20:19.700]  A-T w środku?
[20:19.700 --> 20:21.700]  A-T to znaczy i ty, prawda?
[20:21.700 --> 20:23.700]  Myślę, że...
[20:23.700 --> 20:25.700]  Marta pyta.
[20:25.700 --> 20:27.700]  Marta pyta.
[20:27.700 --> 20:29.700]  Jak się ma Ania?
[20:29.700 --> 20:31.700]  Ja też dawno nie widziałam.
[20:31.700 --> 20:33.700]  Ja też dawno nie widziałam.
[20:33.700 --> 20:35.700]  Ja też dawno nie widziałam.
[20:35.700 --> 20:37.700]  Marta pyta.
[20:37.700 --> 20:39.700]  Co z Anią?
[20:39.700 --> 20:41.700]  Nie widziałam jej od jakiegoś czasu.
[20:41.700 --> 20:43.700]  A ty?
[20:43.700 --> 20:45.700]  Widziałeś ją?
[20:45.700 --> 20:47.700]  Nie.
[20:47.700 --> 20:49.700]  Czyli Marta pyta Jacka.
[20:49.700 --> 20:51.700]  Czyli Marta pyta Jacka.
[20:51.700 --> 20:53.700]  Nie.
[20:53.700 --> 20:55.700]  Czyli 10.
[20:55.700 --> 20:57.700]  Ania szukała nowej pracy?
[20:57.700 --> 20:59.700]  Nie.
[20:59.700 --> 21:01.700]  A, prawda.
[21:01.700 --> 21:03.700]  Marta i Ania widziały się ostatnio we wrześniu.
[21:03.700 --> 21:05.700]  To wiemy, że to jest nieprawda.
[21:05.700 --> 21:07.700]  Kiedy się widziała Marta i Ania ostatnio?
[21:11.700 --> 21:13.700]  W listopadzie albo w grudniu.
[21:13.700 --> 21:15.700]  W listopadzie albo w grudniu.
[21:15.700 --> 21:17.700]  Super.
[21:17.700 --> 21:19.700]  I jeszcze było jedno zadanie.
[21:19.700 --> 21:21.700]  Zadanie pierwsze.
[21:21.700 --> 21:23.700]  Co musisz zrobić, żeby wyjrzeć ćwiczenia?
[21:23.700 --> 21:25.700]  Żeby wyjrzeć ćwiczenia.
[21:25.700 --> 21:27.700]  Żeby wyjrzeć ćwiczenia.
[21:27.700 --> 21:29.700]  Czy coś przegapić?
[21:29.700 --> 21:31.700]  Jak to powinieneś wiedzieć?
[21:31.700 --> 21:33.700]  Jak to zrobić?
[21:33.700 --> 21:35.700]  Tak, są tu pytania.
[21:35.700 --> 21:37.700]  Tak, są tutaj pytania.
[21:37.700 --> 21:39.700]  Ok.
[21:39.700 --> 21:41.700]  A, to jest tak.
[21:41.700 --> 21:43.700]  Nie, nie, nie.
[21:43.700 --> 21:45.700]  Nie, nie.
[21:45.700 --> 21:47.700]  Nie, nie.
[21:47.700 --> 21:49.700]  Nie, nie.
[21:49.700 --> 21:51.700]  Nie, nie.
[21:51.700 --> 21:53.700]  Nie, nie, nie.
[21:53.700 --> 21:55.700]  To ty będzie to peska.
[21:55.700 --> 21:57.700]  No to positivo.
[21:57.700 --> 21:59.700]  Nie, nie.
[21:59.700 --> 22:01.700]  Nie, nie.
[22:01.700 --> 22:03.700]  Wслиpaj.
[22:03.700 --> 22:05.700]  On dzięki temu Vera wyiss unloaduje.
[22:13.700 --> 22:15.700]  W liksom upał.
[22:15.700 --> 22:17.700]  I tak jakby mu doонаła sztuka.
[22:17.700 --> 22:19.700]  Wie, to właśnie dokonała przez bramkę,
[22:19.700 --> 22:21.700]  diye mi bella.
[22:21.700 --> 22:38.700]  Czekamy.
[22:38.700 --> 22:46.700]  Czekamy, bo to zadanie nie ma początku.
[22:46.700 --> 22:55.700]  Nie wiem jak powinniśmy to wiedzieć, bo to jest tak rano.
[22:55.700 --> 23:01.700]  Dobra, kiedy Marek obchodzi nowy rok?
[23:01.700 --> 23:05.700]  Nie wiem.
[23:05.700 --> 23:10.700]  Nie wiem.
[23:10.700 --> 23:14.700]  Myślę, że to jest w porządku.
[23:14.700 --> 23:15.700]  Tak, tak.
[23:15.700 --> 23:21.700]  Nie potrzebujesz tekstu, możesz sobie to zobaczyć.
[23:21.700 --> 23:24.700]  Tak, tak.
[23:24.700 --> 23:25.700]  Ok, ok.
[23:25.700 --> 23:27.700]  Dobra, 2 stycznia.
[23:27.700 --> 23:29.700]  Jedziesz na latach?
[23:29.700 --> 23:31.700]  Stycznię?
[23:31.700 --> 23:33.700]  Może być stycznią.
[23:33.700 --> 23:34.700]  Grudnią.
[23:34.700 --> 23:35.700]  Może być grudnią.
[23:35.700 --> 23:37.700]  Kiedy jeszcze?
[23:37.700 --> 23:39.700]  Opozytywne.
[23:39.700 --> 23:40.700]  Opozytywne.
[23:40.700 --> 23:41.700]  Opozytywne.
[23:41.700 --> 23:42.700]  Opozytywne.
[23:42.700 --> 23:43.700]  Tak, tak.
[23:43.700 --> 23:44.700]  Dobra.
[23:44.700 --> 23:45.700]  Kiedy...
[23:45.700 --> 23:51.700]  Kiedy są święta wielkanocne?
[23:51.700 --> 23:54.700]  W kwietniu.
[23:54.700 --> 23:56.700]  W kwietniu albo?
[23:56.700 --> 23:57.700]  W marcu.
[23:57.700 --> 23:59.700]  W marcu, aha.
[23:59.700 --> 24:01.700]  Kiedy ma pryliz?
[24:01.700 --> 24:02.700]  W kwietniu.
[24:02.700 --> 24:04.700]  W kwietniu, aha.
[24:04.700 --> 24:07.700]  Święto Konstytucji 3 maja?
[24:07.700 --> 24:08.700]  W maju.
[24:08.700 --> 24:12.700]  W najdłuższym zim roku?
[24:12.700 --> 24:13.700]  W czerwcu.
[24:13.700 --> 24:14.700]  W czerwcu.
[24:14.700 --> 24:15.700]  W czerwcu.
[24:15.700 --> 24:16.700]  W czerwcu.
[24:16.700 --> 24:18.700]  Kiedy idziemy na wakacje?
[24:18.700 --> 24:21.700]  W sierpniu.
[24:21.700 --> 24:22.700]  W sierpniu.
[24:22.700 --> 24:23.700]  W sierpniu.
[24:23.700 --> 24:24.700]  W sierpniu.
[24:24.700 --> 24:25.700]  I?
[24:25.700 --> 24:26.700]  I?
[24:26.700 --> 24:27.700]  I?
[24:27.700 --> 24:28.700]  I?
[24:28.700 --> 24:29.700]  I?
[24:29.700 --> 24:30.700]  I?
[24:30.700 --> 24:31.700]  I?
[24:31.700 --> 24:32.700]  I?
[24:32.700 --> 24:33.700]  I?
[24:33.700 --> 24:34.700]  I?
[24:34.700 --> 24:35.700]  I?
[24:35.700 --> 24:36.700]  I?
[24:36.700 --> 24:37.700]  I?
[24:37.700 --> 24:38.700]  I?
[24:38.700 --> 24:39.700]  I?
[24:39.700 --> 24:40.700]  I?
[24:40.700 --> 24:41.700]  I?
[24:41.700 --> 24:42.700]  I?
[24:42.700 --> 24:44.700]  I?
[24:44.700 --> 24:45.700]  I?
[24:45.700 --> 24:46.700]  I?
[24:46.700 --> 24:48.700]  I?
[24:50.700 --> 24:51.700]  I?
[24:51.700 --> 24:52.700]  I?
[24:52.700 --> 24:53.700]  I?
[24:53.700 --> 24:54.700]  I?
[24:54.700 --> 24:55.700]  I?
[24:55.700 --> 24:56.700]  I?
[24:56.700 --> 24:57.700]  I?
[24:57.700 --> 24:58.700]  I?
[24:58.700 --> 24:59.700]  I?
[24:59.700 --> 25:00.700]  I?
[25:00.700 --> 25:01.700]  I?
[25:01.700 --> 25:02.700]  W lippcu.
[25:02.700 --> 25:03.700]  W lippcu?
[25:03.700 --> 25:04.700]  Mhm.
[25:04.700 --> 25:05.700]  Kiedy Krzysztof uczył się do egzaminu?
[25:05.700 --> 25:06.700]  W.
[25:06.700 --> 25:07.700]  Prze...
[25:07.700 --> 25:08.700]  Wrze.
[25:08.700 --> 25:09.700]  Wrze.
[25:09.700 --> 25:10.700]  Wrześniu.
[25:10.700 --> 25:11.600]  We wrześniu,
[25:11.600 --> 25:12.700]  Mhm.
[25:12.700 --> 25:14.700]  We wrześniu.
[25:27.700 --> 25:29.700]  Dlaczego studiował po egzaminie?
[25:29.700 --> 25:31.700]  Bo to jest jedyny z nich.
[25:33.700 --> 25:35.700]  Bo...
[25:35.700 --> 25:37.700]  Tak.
[25:37.700 --> 25:39.700]  No, no.
[25:39.700 --> 25:41.700]  Ale zwykle...
[25:41.700 --> 25:43.700]  Tak, tak, tak.
[25:43.700 --> 25:45.700]  Polska kultura i twierdzi.
[25:53.700 --> 25:56.700]  Więc zwykle masz normalny egzamin w czerwcu,
[25:56.700 --> 25:59.700]  ale kiedy nie przejdziesz tego egzaminu,
[25:59.700 --> 26:01.700]  musisz odnieść ten egzamin w sierpniu.
[26:01.700 --> 26:03.700]  A, ok.
[26:03.700 --> 26:05.700]  Więc Krzysztof musi przejść ten egzamin,
[26:05.700 --> 26:07.700]  więc musisz odnieść go w sierpniu.
[26:07.700 --> 26:09.700]  Tak, więc mam to samo w uniwersytecie,
[26:09.700 --> 26:11.700]  bo...
[26:11.700 --> 26:13.700]  Wiesz, mam to w calendrze.
[26:13.700 --> 26:15.700]  Tak, tak.
[26:15.700 --> 26:17.700]  Jeśli wyjdziem na egzamin, muszę odnieść ten egzamin.
[26:17.700 --> 26:19.700]  Tak, tak.
[26:19.700 --> 26:21.700]  Więc, a parę tych Krzysztof...
[26:21.700 --> 26:23.700]  Fejchy z jedzami.
[26:23.700 --> 26:25.700]  Dobra.
[26:25.700 --> 26:27.700]  Kiedy zaczyna się rok akademicki?
[26:27.700 --> 26:29.700]  To jest...
[26:29.700 --> 26:31.700]  No...
[26:31.700 --> 26:33.700]  Hałasierniku.
[26:33.700 --> 26:35.700]  Hałasierniku, dobra.
[26:35.700 --> 26:37.700]  Czyli niedługo.
[26:37.700 --> 26:39.700]  Kiedy obchodzimy Narodowe Święto Niepodległości?
[26:39.700 --> 26:41.700]  Listopadzie.
[26:41.700 --> 26:43.700]  Listopadzie.
[26:43.700 --> 26:45.700]  Kiedy listopadzie?
[26:45.700 --> 26:47.700]  Kiedy?
[26:47.700 --> 26:49.700]  Kto wie?
[26:49.700 --> 26:51.700]  Kiedy?
[26:51.700 --> 26:53.700]  Jedenastego.
[26:53.700 --> 26:55.700]  Jedenastego listopadzie.
[26:55.700 --> 26:57.700]  Dobra.
[26:57.700 --> 26:59.700]  Kiedy obchodzimy Boże Narodzenie?
[26:59.700 --> 27:01.700]  W grudniu.
[27:01.700 --> 27:03.700]  W grudniu, dobra.
[27:03.700 --> 27:05.700]  Kiedy ma jak Państwo urodziny?
[27:05.700 --> 27:07.700]  W Aranii.
[27:07.700 --> 27:09.700]  W grudniu.
[27:09.700 --> 27:11.700]  W grudniu.
[27:11.700 --> 27:13.700]  W grudniu.
[27:13.700 --> 27:15.700]  Przed Boże Narodzeniem czy po?
[27:15.700 --> 27:17.700]  Before Christmas or after Christmas?
[27:17.700 --> 27:19.700]  After Christmas.
[27:19.700 --> 27:21.700]  After Christmas?
[27:21.700 --> 27:23.700]  When?
[27:23.700 --> 27:25.700]  Dwa...
[27:25.700 --> 27:27.700]  Dwa...
[27:27.700 --> 27:29.700]  26?
[27:29.700 --> 27:31.700]  Oh, I'm on 27.
[27:31.700 --> 27:33.700]  Very close.
[27:33.700 --> 27:35.700]  Very close.
[27:35.700 --> 27:37.700]  It's a cool time.
[27:37.700 --> 27:39.700]  I personally it's cool.
[27:39.700 --> 27:43.700]  And also in Poland 26 is still a holiday.
[27:43.700 --> 27:45.700]  Yeah, it's cool.
[27:45.700 --> 27:47.700]  I will start the day off.
[27:47.700 --> 27:49.700]  No worries.
[27:49.700 --> 27:51.700]  A jaka jest jej urodzina?
[27:51.700 --> 27:53.700]  A jaka jest jej urodzina?
[27:53.700 --> 27:55.700]  Nie znam.
[27:55.700 --> 27:57.700]  Sorry.
[27:57.700 --> 27:59.700]  When is your birthday?
[27:59.700 --> 28:01.700]  W piętniu.
[28:01.700 --> 28:03.700]  W piętniu?
[28:03.700 --> 28:05.700]  W piętniu? Ok.
[28:05.700 --> 28:07.700]  Dobrze.
[28:07.700 --> 28:09.700]  W końcu to powtórzyliśmy.
[28:09.700 --> 28:11.700]  Co teraz?
[28:11.700 --> 28:13.700]  Co teraz?
[28:13.700 --> 28:15.700]  Co teraz?
[28:15.700 --> 28:17.700]  Kolej godziny.
[28:17.700 --> 28:19.700]  Kolej godziny.
[28:19.700 --> 28:21.700]  Kolej godziny.
[28:21.700 --> 28:23.700]  Co zrobiliśmy?
[28:23.700 --> 28:25.700]  Co zrobiliśmy?
[28:25.700 --> 28:27.700]  Co zrobiliśmy?
[28:27.700 --> 28:29.700]  Kolej godziny.
[28:29.700 --> 28:31.700]  I want to do as much as possible.
[28:31.700 --> 28:33.700]  As many?
[28:33.700 --> 28:35.700]  As much as possible today.
[28:35.700 --> 28:39.700]  Probably we start the next chapter on this.
[28:39.700 --> 28:41.700]  Dobra.
[28:43.700 --> 28:45.700]  Może posłuchamy.
[28:45.700 --> 28:47.700]  Maybe we will listen.
[28:47.700 --> 28:49.700]  Maybe we will listen.
[28:49.700 --> 28:51.700]  Zadanie 8.
[28:51.700 --> 28:53.700]  Zadanie 8.
[28:53.700 --> 28:55.700]  Tutaj też mamy prawda lub nieprawda.
[28:55.700 --> 28:57.700]  Tutaj też mamy prawda lub nieprawda.
[29:01.700 --> 29:03.700]  No.
[29:03.700 --> 29:05.700]  O so.
[29:05.700 --> 29:07.700]  Dезж爻ą primera op zas pas na,
[29:07.700 --> 29:09.700]  To okej.
[29:09.700 --> 29:11.700]  To okay.
[29:11.700 --> 29:13.700]  OK.
[29:13.700 --> 29:15.700]  To okay.
[29:15.700 --> 29:17.700]  To okay.
[29:17.700 --> 29:19.700]  January was the university in London.
[29:19.700 --> 29:21.700]  To okay.
[29:21.700 --> 29:23.700]  And January was the university in London.
[29:23.700 --> 29:25.700]  To okay.
[29:27.700 --> 29:29.700] erem roam to the University August.
[29:29.700 --> 29:31.700]  I don't know language.
[29:31.700 --> 29:33.700]  Membroken language.
[29:33.700 --> 29:35.700]  Tak, to jest dialog, ale...
[29:35.700 --> 29:39.700]  PTA, PTO...
[29:39.700 --> 29:42.700]  Niektórzy nie wiedzą co to jest PTO.
[29:42.700 --> 29:50.700]  Dobra, no to tak, będziemy słuchać co te osoby robiły.
[29:50.700 --> 29:54.700]  To będzie rozmowa telefoniczna lub telefon.
[29:54.700 --> 29:56.700]  Słuchaj, jak to jest numer?
[29:56.700 --> 29:58.700]  Osiem.
[30:03.700 --> 30:11.700]  Dzień dobry.
[30:19.700 --> 30:30.700]  I teraz tak, będziemy słuchać dwa razy, może trzy, może cztery, bo...
[30:30.700 --> 30:33.700]  Najpierw robimy to prawda-fałsz.
[30:33.700 --> 30:37.700]  Ale to samo będzie w zadaniu dziewiątym.
[30:37.700 --> 30:39.700]  To będzie to samo nagranie.
[30:39.700 --> 30:41.700]  I w tym zadaniu dziewiątym.
[30:41.700 --> 30:43.700]  Więc zrobimy to tak, jak dobrze.
[30:43.700 --> 30:45.700]  Dobra, to uwaga, uwaga.
[30:49.700 --> 30:52.700]  Lekcja dziesiąta, ćwiczenie sześć, a idę.
[30:57.700 --> 30:59.700]  No cześć Magda, tu Tomek.
[30:59.700 --> 31:01.700]  Możesz teraz rozmawiać, czy jesteś zajęta?
[31:01.700 --> 31:02.700]  Tak, mogę.
[31:02.700 --> 31:03.700]  Jak się masz?
[31:03.700 --> 31:05.700]  Bardzo dawno nie rozmawialiśmy.
[31:05.700 --> 31:07.700]  Chyba z pół roku temu, nie?
[31:07.700 --> 31:09.700]  Nawet nie pamiętam dokładnie.
[31:09.700 --> 31:11.700]  Chyba w marcu albo w kwietniu.
[31:11.700 --> 31:13.700]  Jeszcze przed moim urlopem chyba.
[31:13.700 --> 31:14.700]  A urlop miałem w maju.
[31:14.700 --> 31:16.700]  Tak, pamiętam, że planowałeś urlop.
[31:16.700 --> 31:18.700]  No i co, gdzie pojechałeś?
[31:18.700 --> 31:19.700]  Do Hiszpanii.
[31:19.700 --> 31:21.700]  No to fantastyczne wakacje.
[31:21.700 --> 31:23.700]  Byłeś sam, czy z jakimiś znajomymi?
[31:23.700 --> 31:25.700]  Byliśmy w cztery osoby.
[31:25.700 --> 31:28.700]  Mój brat ze swoją dziewczyną, mój kolega ze studiów, no i ja.
[31:28.700 --> 31:30.700]  Jak długo byliście?
[31:30.700 --> 31:31.700]  Prawie miesiąc.
[31:31.700 --> 31:33.700]  W czerwcu byliśmy już z powrotem w Warszawie.
[31:33.700 --> 31:35.700]  Było naprawdę świetnie.
[31:35.700 --> 31:36.700]  Optymalna pogoda.
[31:36.700 --> 31:39.700]  Jeździliśmy po całej Hiszpanii samochodem.
[31:39.700 --> 31:42.700]  Zwiedzaliśmy miasta, codziennie pływaliśmy albo biegaliśmy.
[31:42.700 --> 31:44.700]  No a wieczorem?
[31:44.700 --> 31:47.700]  Chodziliśmy na deskotekę albo po prostu do jakiegoś fajnego klubu.
[31:47.700 --> 31:48.700]  Było super.
[31:48.700 --> 31:50.700]  A gdzie jedliście?
[31:50.700 --> 31:55.700]  Śniadania robiliśmy sami, a kolacje czy obiad jedliśmy z reguły w restauracji.
[31:55.700 --> 31:57.700]  A ty miałaś już jakiś urlop?
[31:57.700 --> 31:58.700]  Tak, tak.
[31:58.700 --> 31:59.700]  Dwa miesiące temu, w lipcu.
[31:59.700 --> 32:01.700]  Byłam na kursie językowym.
[32:01.700 --> 32:02.700]  W Berlinie.
[32:02.700 --> 32:04.700]  Aha, ale gdzie chodziłaś na lekcje?
[32:04.700 --> 32:06.700]  To było na uniwersytecie czy...?
[32:06.700 --> 32:10.700]  Nie, to był normalny kurs językowy w prywatnej szkole językowej.
[32:10.700 --> 32:12.700]  Taka wakacyjna oferta.
[32:12.700 --> 32:14.700]  W grupie było dziewięć osób.
[32:14.700 --> 32:17.700]  Codziennie przed południem mieliśmy cztery lekcje.
[32:17.700 --> 32:19.700]  Od dziewiątej do pół do pierwszej.
[32:19.700 --> 32:22.700]  A po południu, czy wieczorem, spotykaliśmy się już prywatnie.
[32:22.700 --> 32:26.700]  I nie wiem, na przykład chodziliśmy do kina, zwiedzaliśmy miasto,
[32:26.700 --> 32:29.700]  albo po prostu rozmawialiśmy gdzieś w kawiarni.
[32:29.700 --> 32:31.700]  No i musiałam się też dużo uczyć.
[32:31.700 --> 32:34.700]  A gdzie mieszkałaś? W hotelu czy u kogoś znajomego?
[32:34.700 --> 32:37.700]  Nie, to był zorganizowany kurs i mieszkanie też było zapewnione.
[32:37.700 --> 32:39.700]  Mieszkałam u rodziny niemieckiej.
[32:39.700 --> 32:43.700]  Aha, to znaczy, że cały czas musiałaś mówić tylko po niemiecku.
[32:43.700 --> 32:45.700]  To nie było za trudne?
[32:45.700 --> 32:49.700]  Wiesz co, na początku tak, ale potem się przyzwyczaiłam.
[32:51.700 --> 32:52.700]  Okej.
[32:52.700 --> 32:54.700]  I jak było?
[32:54.700 --> 32:55.700]  Jeszcze raz.
[32:55.700 --> 32:58.700]  I jak było? Dobrze? Trudno?
[32:58.700 --> 32:59.700]  Tak sobie?
[32:59.700 --> 33:00.700]  Tak.
[33:00.700 --> 33:03.700]  Ale szedłem tylko na eksercjum nr 8.
[33:03.700 --> 33:06.700]  Więc zapraszałem, przepraszam.
[33:07.700 --> 33:08.700]  Jeszcze raz.
[33:11.700 --> 33:12.700]  Co tam?
[33:13.700 --> 33:14.700]  Na 8 lub 9 czytaliśmy?
[33:14.700 --> 33:15.700]  Tak.
[33:15.700 --> 33:16.700]  No?
[33:16.700 --> 33:18.700]  Na 8 czy 9 czytaliśmy?
[33:18.700 --> 33:20.700]  Przymówiliśmy się jeszcze raz.
[33:20.700 --> 33:23.700]  Na 8, ale 9 jest to samo.
[33:23.700 --> 33:26.700]  Więc teraz musimy się zmieniać.
[33:26.700 --> 33:27.700]  Fokusem.
[33:27.700 --> 33:29.700]  Czy masz jeszcze coś na 8?
[33:30.700 --> 33:57.700]  concurrentny
[33:57.700 --> 34:00.040]  konkretny
[34:00.040 --> 34:04.240]  W kwietniu, jeszcze przed moim urlopem chyba. A urlop miałem w maju.
[34:04.320 --> 34:08.080]  Tak, pamiętam, że planowałeś urlop. No i co? Gdzie pojechałeś?
[34:08.260 --> 34:09.100]  Do Hiszpanii.
[34:09.360 --> 34:13.040]  No to fantastyczne wakacje. Byłeś sam czy z jakimiś znajomymi?
[34:13.400 --> 34:18.560]  Byliśmy w cztery osoby. Mój brat ze swoją dziewczyną, mój kolega ze studiów, no i ja.
[34:18.660 --> 34:19.640]  Jak długo byliście?
[34:19.640 --> 34:26.140]  Prawie miesiąc. W czerwcu byliśmy już z pogodem w Warszawie. Było naprawdę świetnie. Optymalna pogoda.
[34:26.140 --> 34:32.140]  Jeździliśmy po całej Hiszpanii samochodem. Zwiedzaliśmy miasta, codziennie próbowaliśmy albo biegaliśmy.
[34:32.140 --> 34:33.140]  No a wieczorem?
[34:33.140 --> 34:38.140]  Chodziliśmy na deskotekę albo po prostu do jakiegoś fajnego klubu. Było super.
[34:38.140 --> 34:39.140]  A gdzie jedliście?
[34:39.140 --> 34:47.140]  Śniadania robiliśmy sami, a kolacje czy obiad jedliśmy z reguły w restauracji. A ty miałaś już jakiś urlop?
[34:47.140 --> 34:51.140]  Tak, tak. Dwa miesiące temu, w lipcu. Byłam na kursie językowym w Berlinie.
[34:51.140 --> 34:56.140]  Aha. Ale gdzie chodziłaś na lekcje? To było na uniwersytecie czy tam?
[34:56.140 --> 35:04.140]  Nie, to był normalny kurs językowy w prywatnej szkole językowej. Taka wakacyjna oferta. W grupie było dziewięć osób.
[35:04.140 --> 35:12.140]  Codziennie przed południem mieliśmy cztery lekcje. Od dziewiątej do pół do pierwszej. A po południu czy wieczorem spotykaliśmy się już prywatnie.
[35:12.140 --> 35:21.140]  I nie wiem, na przykład chodziliśmy do kina, zwiedzaliśmy miasto albo po prostu rozmawialiśmy gdzieś w kawiarni. No i musiało się też dużo uczyć.
[35:21.140 --> 35:24.140]  A gdzie mieszkałaś? W hotelu czy u kogoś znajomego?
[35:24.140 --> 35:26.140]  Nie, to był zorganizowany kurs i mieszkaliśmy w kawiarni.
[35:26.140 --> 35:29.140]  Mieszkanie też było zapewnione. Mieszkałam u rodziny niemieckiej.
[35:29.140 --> 35:35.140]  Aha, to znaczy, że cały czas musiałaś mówić tylko po niemiecku. To nie było za trudne?
[35:35.140 --> 35:38.140]  Wiesz co, na początku tak, ale potem się przyzwyczaiłam.
[35:40.140 --> 35:45.140]  Okej. No to róbmy.
[35:52.140 --> 35:55.140]  Tomek był na urlopie. Miał urlop w kwiecień.
[35:56.140 --> 36:01.140]  Tak czy nie?
[36:01.140 --> 36:02.140]  Nie.
[36:02.140 --> 36:03.140]  Dlaczego?
[36:03.140 --> 36:04.140]  W maju.
[36:04.140 --> 36:10.140]  Super. Nie. No i? Miał urlop w maju. Osiem osób było w Hiszpanii.
[36:10.140 --> 36:11.140]  Nieprawda.
[36:11.140 --> 36:13.140]  Nieprawda. Ile było?
[36:13.140 --> 36:14.140]  Cztery osoby.
[36:14.140 --> 36:17.140]  Cztery osoby było. W Hiszpanii chodzili pieszo.
[36:17.140 --> 36:19.140]  Nieprawda.
[36:19.140 --> 36:20.140]  Nieprawda.
[36:20.140 --> 36:21.140]  Samochodem.
[36:21.140 --> 36:24.140]  Samochodem się przemieszczali. Co jeszcze?
[36:24.140 --> 36:27.140]  Biegali.
[36:27.140 --> 36:33.140]  Na pewno gdzieś chodzili, ale to nie był ich główny środek transportu.
[36:33.140 --> 36:38.140]  Okej. Śniadania jedli w restauracji.
[36:38.140 --> 36:40.140]  Nieprawda.
[36:40.140 --> 36:41.140]  Nieprawda.
